0 -449.931 351.432 -10.8379,3 23 134,0.83544 0.080907 0.3152,0.83544 -0.079835 0.3152,0.69364 0.056607 0.29718
1 -177.737 249.027 -10.8294,3 23 136,0.83544 0.080907 0.3152,0.83544 -0.079835 0.3152,0.69207 0.060731 0.29515
2 -142.128 210.974 -10.8333,3 23 155,0.83544 0.080907 0.3152,0.83544 -0.079835 0.3152,0.69285 -0.057322 0.29628
3 -103.589 194.063 -10.6527,3 23 179,0.83544 0.080907 0.3152,0.83544 -0.079835 0.3152,0.62946 0.00054929 0.29076
4 -113.096 228.055 -10.6527,3 23 179,0.83544 0.080907 0.3152,0.83544 -0.079835 0.3152,0.62946 0.00054929 0.29076
5 -86.3394 163.75 -10.0375,1 23 38,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.63213 -0.06185 0.28973
6 -107.451 198.991 -9.99781,1 23 179,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.62946 0.00054929 0.29076
7 -144.958 233.854 -9.99781,1 23 179,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.62946 0.00054929 0.29076
8 -97.8554 222.157 -9.99603,1 23 132,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.69521 0.053196 0.2989
9 -91.1128 190.988 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
10 -117.657 215.33 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
11 -131.214 222.966 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
12 -127.314 231.636 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
13 -97.1643 191.015 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
14 -134.82 244.183 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
15 -113.292 224.208 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
16 -108.941 216.421 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
17 -138.057 250.405 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
18 -99.3639 188.132 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
19 -116 202.692 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
20 -121.358 238.363 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
21 -115.084 216.011 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
22 -116.798 224.957 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
